"","year","Country","Area_Km2"
"1",1995,"Comoros",1
"2",1995,"Kenya",7
"3",1995,"Madagascar",20
"4",1995,"Mauritius",15
"5",1995,"Mayotte",0
"6",1995,"Mozambique",111
"7",1995,"Reunion",0
"8",1995,"Rodriguez",0
"9",1995,"SA",81
"10",1995,"Somalia",35
"11",1995,"Tanzania",78
"12",1995,NA,0
