"","year","Country","Area_Km2"
"1",2005,"Comoros",1
"2",2005,"Kenya",20
"3",2005,"Madagascar",24
"4",2005,"Mauritius",20
"5",2005,"Mayotte",0
"6",2005,"Mozambique",166
"7",2005,"Reunion",2
"8",2005,"Rodriguez",0
"9",2005,"SA",206
"10",2005,"Somalia",34
"11",2005,"Tanzania",140
"12",2005,NA,0
