"","year","Country","Area_Km2"
"1",2000,"Comoros",1
"2",2000,"Kenya",8
"3",2000,"Madagascar",20
"4",2000,"Mauritius",15
"5",2000,"Mayotte",0
"6",2000,"Mozambique",116
"7",2000,"Reunion",0
"8",2000,"Rodriguez",0
"9",2000,"SA",81
"10",2000,"Somalia",34
"11",2000,"Tanzania",78
"12",2000,NA,0
