"","year","Country","Area_Km2"
"1",2010,"Comoros",2
"2",2010,"Kenya",27
"3",2010,"Madagascar",26
"4",2010,"Mauritius",26
"5",2010,"Mayotte",0
"6",2010,"Mozambique",192
"7",2010,"Reunion",13
"8",2010,"Rodriguez",0
"9",2010,"SA",277
"10",2010,"Somalia",36
"11",2010,"Tanzania",163
"12",2010,NA,2
